                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0074,                 1.5143,                 1.4463,                0.65685,                0.66879,                0.67049,                0.36713,                 1.1914,                 1.8514,                 1.8769,             0.00066055,             0.00066055,             0.00066055
                      2,                 1.0743,                  1.202,                 1.4949,                0.78033,                0.82803,                0.87075,                0.54035,                 1.3032,                 1.2077,                 1.9169,              0.0013141,              0.0013141,              0.0013141
                      3,                  1.103,                 1.0692,                 1.5001,                0.41584,                0.52866,                0.34501,                0.11616,                 2.7378,                 2.3987,                 4.6076,              0.0019544,              0.0019544,              0.0019544
                      4,                 1.0795,                0.96355,                 1.4814,                0.62153,                0.64968,                0.64023,                0.41883,                 1.3522,                 1.3473,                 1.8546,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0675,                0.92568,                 1.4755,                0.76653,                 0.7707,                0.80342,                0.54499,                   1.23,                0.98146,                 1.7353,              0.0019406,              0.0019406,              0.0019406
                      6,                0.98655,                0.83389,                 1.4099,                0.84198,                0.71975,                0.81206,                0.45784,                 1.9969,                 1.0489,                 2.6502,              0.0019208,              0.0019208,              0.0019208
                      7,                 0.9704,                0.81219,                 1.3923,                0.94744,                0.91083,                 0.9539,                0.71929,                 0.8678,                0.75483,                 1.4009,               0.001901,               0.001901,               0.001901
                      8,                0.89931,                 0.7253,                 1.3356,                0.91178,                0.92161,                0.95111,                0.72738,                0.85604,                0.62041,                 1.4048,              0.0018812,              0.0018812,              0.0018812
                      9,                0.89325,                0.71995,                 1.3369,                0.93463,                0.81966,                0.94649,                 0.7169,                0.79559,                0.72692,                 1.3342,              0.0018614,              0.0018614,              0.0018614
                     10,                0.89356,                0.70495,                 1.3321,                 0.9478,                0.96178,                0.98032,                0.77517,                0.68532,                  0.588,                 1.2653,              0.0018416,              0.0018416,              0.0018416
                     11,                0.86792,                0.67354,                 1.3102,                 0.8964,                0.93687,                0.95481,                  0.748,                 0.8306,                0.56548,                 1.3324,              0.0018218,              0.0018218,              0.0018218
                     12,                 0.8412,                0.65831,                 1.2942,                0.95301,                0.90427,                0.96738,                0.77855,                 0.6912,                0.54337,                 1.2432,               0.001802,               0.001802,               0.001802
                     13,                0.84021,                0.63368,                  1.294,                0.96418,                0.93631,                0.97754,                0.80379,                0.63635,                0.55091,                 1.1705,              0.0017822,              0.0017822,              0.0017822
                     14,                0.80359,                0.61809,                 1.2689,                0.93021,                0.92357,                0.95551,                0.76602,                  0.787,                0.57204,                 1.2834,              0.0017624,              0.0017624,              0.0017624
                     15,                0.79613,                0.61628,                  1.263,                0.93279,                0.98089,                0.98111,                0.76296,                 0.8424,                0.60327,                 1.3378,              0.0017426,              0.0017426,              0.0017426
                     16,                0.78344,                0.59618,                 1.2492,                0.92848,                0.90959,                0.97033,                0.77337,                0.68971,                0.54691,                 1.2305,              0.0017228,              0.0017228,              0.0017228
                     17,                0.77902,                0.57587,                  1.248,                0.94905,                0.94915,                0.98695,                0.85937,                0.53119,                0.42939,                 1.0941,               0.001703,               0.001703,               0.001703
                     18,                0.76725,                0.57416,                 1.2453,                0.95968,                0.90971,                0.97496,                0.79505,                0.63626,                0.54439,                 1.1963,              0.0016832,              0.0016832,              0.0016832
                     19,                0.75132,                0.55932,                 1.2302,                0.96942,                0.96178,                0.99213,                0.86057,                0.59492,                0.40354,                  1.114,              0.0016634,              0.0016634,              0.0016634
                     20,                0.74129,                0.54349,                  1.221,                0.96116,                0.97452,                0.98332,                0.83468,                0.57978,                0.41233,                 1.1268,              0.0016436,              0.0016436,              0.0016436
                     21,                0.72976,                0.53329,                 1.2172,                0.96602,                0.97452,                0.98774,                0.87688,                0.53645,                0.39058,                 1.0747,              0.0016238,              0.0016238,              0.0016238
                     22,                0.71825,                0.51827,                 1.2029,                0.95698,                0.99184,                0.99171,                0.83676,                0.60279,                0.38711,                 1.1534,               0.001604,               0.001604,               0.001604
                     23,                0.71347,                0.51533,                 1.2038,                0.95978,                0.99363,                0.99183,                0.86788,                0.54722,                0.35009,                 1.1229,              0.0015842,              0.0015842,              0.0015842
                     24,                0.71851,                0.52469,                 1.2041,                0.96074,                0.90446,                0.96888,                0.83057,                0.55616,                0.40711,                 1.1136,              0.0015644,              0.0015644,              0.0015644
                     25,                0.70209,                0.50108,                 1.2016,                0.96123,                0.94762,                0.98886,                0.88144,                0.52048,                0.40682,                 1.0637,              0.0015446,              0.0015446,              0.0015446
                     26,                0.69024,                0.50002,                 1.1899,                0.96582,                0.98089,                0.98967,                 0.8825,                0.51072,                0.33614,                 1.0471,              0.0015248,              0.0015248,              0.0015248
                     27,                0.68738,                0.48492,                 1.1815,                0.95055,                0.97945,                0.99204,                0.88832,                 0.5214,                0.44708,                 1.0888,               0.001505,               0.001505,               0.001505
                     28,                0.68264,                0.49133,                 1.1836,                0.92205,                0.97941,                0.98892,                0.88899,                0.48656,                0.34395,                 1.0406,              0.0014852,              0.0014852,              0.0014852
                     29,                0.67759,                0.48754,                 1.1844,                0.93558,                0.95541,                 0.9787,                0.84052,                0.51701,                0.40173,                 1.1148,              0.0014654,              0.0014654,              0.0014654
                     30,                0.66442,                0.47457,                 1.1647,                0.97445,                0.97156,                0.99218,                0.88413,                0.57965,                0.33425,                 1.1275,              0.0014456,              0.0014456,              0.0014456
                     31,                0.65269,                0.45899,                 1.1639,                0.91209,                0.94268,                0.96506,                0.83612,                0.54161,                0.44881,                  1.111,              0.0014258,              0.0014258,              0.0014258
                     32,                0.66544,                0.47226,                 1.1715,                0.92224,                0.94904,                0.98096,                0.87527,                0.56848,                0.46831,                 1.0925,               0.001406,               0.001406,               0.001406
                     33,                0.64805,                0.45771,                 1.1599,                0.95854,                0.95541,                0.98783,                0.89875,                0.49736,                0.32361,                  1.019,              0.0013862,              0.0013862,              0.0013862
                     34,                0.64729,                0.46099,                 1.1548,                0.96256,                0.98255,                0.99184,                0.89922,                0.50229,                0.30544,                 1.0838,              0.0013664,              0.0013664,              0.0013664
                     35,                0.65098,                0.45918,                 1.1595,                0.94872,                0.98089,                 0.9908,                0.91026,                0.45927,                0.31269,                 1.0049,              0.0013466,              0.0013466,              0.0013466
                     36,                0.63843,                0.44675,                 1.1506,                0.95575,                0.97452,                 0.9923,                0.89387,                0.50006,                 0.2974,                 1.0358,              0.0013268,              0.0013268,              0.0013268
                     37,                0.63227,                 0.4395,                 1.1416,                0.96851,                0.97961,                0.99015,                0.86159,                 0.5149,                0.33134,                 1.0827,               0.001307,               0.001307,               0.001307
                     38,                0.63429,                0.43909,                 1.1571,                0.97214,                0.98089,                0.99209,                0.87327,                0.51524,                0.36632,                 1.0586,              0.0012872,              0.0012872,              0.0012872
                     39,                0.63598,                0.45107,                 1.1524,                0.98062,                0.96695,                0.99083,                0.89753,                0.46416,                0.30629,                 1.0272,              0.0012674,              0.0012674,              0.0012674
                     40,                0.61373,                0.41408,                 1.1367,                0.97497,                0.99258,                 0.9945,                 0.9119,                0.52267,                0.29892,                 1.0607,              0.0012476,              0.0012476,              0.0012476
                     41,                0.60398,                0.42033,                 1.1293,                0.95682,                0.98089,                0.99244,                0.90121,                0.45381,                0.36371,                 1.0244,              0.0012278,              0.0012278,              0.0012278
                     42,                0.60155,                0.42037,                 1.1286,                0.96679,                      1,                0.99276,                0.92813,                0.44903,                0.34213,                0.99246,               0.001208,               0.001208,               0.001208
                     43,                0.59516,                0.41794,                 1.1307,                0.96305,                0.99599,                0.99191,                0.92097,                0.45922,                0.28745,                 1.0251,              0.0011882,              0.0011882,              0.0011882
                     44,                0.59853,                0.42221,                 1.1365,                0.97904,                0.98089,                0.99294,                0.91482,                0.53147,                0.32782,                 1.1052,              0.0011684,              0.0011684,              0.0011684
                     45,                0.60086,                0.41721,                 1.1332,                0.99572,                0.98089,                0.99481,                0.89501,                0.47991,                0.29209,                 1.0103,              0.0011486,              0.0011486,              0.0011486
                     46,                0.58138,                0.40981,                 1.1148,                 0.9623,                0.96178,                0.99087,                0.90823,                0.42136,                0.28652,                0.99422,              0.0011288,              0.0011288,              0.0011288
