                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0074,                 1.5143,                 1.4463,                0.65685,                0.66879,                0.67049,                0.36713,                 1.1914,                 1.8514,                 1.8769,             0.00066055,             0.00066055,             0.00066055
                      2,                 1.0774,                 1.1909,                 1.4885,                0.74484,                0.77707,                0.80324,                0.43185,                 1.4426,                 1.7384,                 2.0991,              0.0013206,              0.0013206,              0.0013206
                      3,                 1.1173,                 1.0901,                 1.5152,                0.80767,                0.78344,                 0.8351,                0.50233,                  1.506,                 1.4342,                  2.154,              0.0019741,              0.0019741,              0.0019741
                      4,                 1.0902,                0.98275,                 1.4932,                0.79257,                0.70576,                0.81631,                0.56924,                 1.2806,                 1.0184,                 1.8757,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.0493,                0.92221,                 1.4579,                0.85685,                0.82803,                0.90074,                0.64238,                 1.1501,                0.95277,                  1.685,              0.0019703,              0.0019703,              0.0019703
                      6,                0.99099,                0.83646,                 1.4107,                0.89135,                0.87261,                0.94077,                0.70067,                 1.1713,                0.79164,                 1.6081,              0.0019604,              0.0019604,              0.0019604
                      7,                0.95809,                 0.8188,                 1.3812,                0.88562,                 0.8877,                0.93501,                0.71163,                  1.025,                 0.9899,                 1.5705,              0.0019505,              0.0019505,              0.0019505
                      8,                0.93192,                0.76704,                  1.364,                0.90583,                0.93631,                0.97532,                0.72675,                0.95561,                0.61094,                   1.48,              0.0019406,              0.0019406,              0.0019406
                      9,                0.90725,                0.72768,                 1.3428,                0.79302,                 0.7707,                0.82593,                0.54452,                  1.236,                 1.1026,                 1.7779,              0.0019307,              0.0019307,              0.0019307
                     10,                0.90204,                0.70695,                 1.3305,                0.96453,                0.95541,                0.98424,                 0.7873,                0.75442,                0.58929,                 1.3014,              0.0019208,              0.0019208,              0.0019208
                     11,                0.87425,                0.68659,                 1.3158,                0.92306,                0.91694,                0.95664,                0.78018,                0.74276,                0.61154,                 1.2591,              0.0019109,              0.0019109,              0.0019109
                     12,                0.83912,                0.67208,                 1.2966,                0.91196,                0.92369,                0.97744,                0.77471,                0.81043,                0.53941,                 1.3012,               0.001901,               0.001901,               0.001901
                     13,                0.84389,                0.65204,                 1.2972,                0.85637,                0.90446,                0.94804,                0.77774,                0.69575,                0.60134,                 1.2062,              0.0018911,              0.0018911,              0.0018911
                     14,                0.81411,                0.62842,                 1.2758,                 0.9659,                0.90201,                0.97845,                0.80301,                0.68733,                0.55835,                 1.2423,              0.0018812,              0.0018812,              0.0018812
                     15,                0.80671,                0.62051,                 1.2666,                0.82375,                0.91083,                0.93782,                0.75759,                0.80359,                0.67584,                 1.3039,              0.0018713,              0.0018713,              0.0018713
                     16,                0.79799,                0.61825,                 1.2643,                0.91227,                0.92729,                0.95994,                0.71114,                0.86099,                0.69477,                 1.3953,              0.0018614,              0.0018614,              0.0018614
                     17,                0.78965,                0.59096,                 1.2643,                0.92625,                0.95996,                0.97765,                0.81032,                0.67397,                0.50397,                  1.221,              0.0018515,              0.0018515,              0.0018515
